"time","count"
"2019-01-08T20:57:27.215Z","421284"
"2019-01-08T20:58:27.181Z","421306"
"2019-01-08T20:59:27.185Z","421325"
"2019-01-08T21:00:27.185Z","421350"
"2019-01-08T21:01:27.192Z","421369"
"2019-01-08T21:02:27.204Z","421384"
"2019-01-08T21:03:27.204Z","421423"
"2019-01-08T21:04:27.257Z","421450"
"2019-01-08T21:05:27.212Z","421477"
"2019-01-08T21:06:27.289Z","421499"
"2019-01-08T21:07:27.226Z","421527"
"2019-01-08T21:08:27.250Z","421564"
"2019-01-08T21:09:27.234Z","421587"
"2019-01-08T21:10:27.263Z","421618"
"2019-01-08T21:11:27.244Z","421645"
"2019-01-08T21:12:27.283Z","421669"
"2019-01-08T21:13:27.286Z","421696"
"2019-01-08T21:14:27.293Z","421727"
"2019-01-08T21:15:27.306Z","421755"
"2019-01-08T21:16:27.320Z","421781"
"2019-01-08T21:17:27.283Z","421811"
"2019-01-08T21:18:27.273Z","421835"
"2019-01-08T21:19:27.314Z","421856"
"2019-01-08T21:20:27.292Z","421884"
"2019-01-08T21:21:27.285Z","421913"
"2019-01-08T21:22:27.290Z","421946"
"2019-01-08T21:23:27.347Z","421972"
"2019-01-08T21:24:27.302Z","422005"
"2019-01-08T21:25:27.332Z","422033"
"2019-01-08T21:26:27.312Z","422064"
"2019-01-08T21:27:27.316Z","422088"
"2019-01-08T21:28:27.318Z","422114"
"2019-01-08T21:29:27.375Z","422136"
"2019-01-08T21:30:27.368Z","422161"
"2019-01-08T21:31:27.368Z","422185"
"2019-01-08T21:32:27.337Z","422203"
"2019-01-08T21:33:27.412Z","422229"
"2019-01-08T21:34:27.384Z","422257"
"2019-01-08T21:35:27.347Z","422274"
"2019-01-08T21:36:27.372Z","422299"
"2019-01-08T21:37:27.350Z","422323"
"2019-01-08T21:38:27.354Z","422355"
"2019-01-08T21:39:27.381Z","422379"
"2019-01-08T21:40:27.396Z","422407"
"2019-01-08T21:41:27.364Z","422429"
"2019-01-08T21:42:27.364Z","422450"
"2019-01-08T21:43:27.373Z","422470"
"2019-01-08T21:44:27.371Z","422495"
"2019-01-08T21:45:27.407Z","422521"
"2019-01-08T21:46:27.382Z","422547"
"2019-01-08T21:47:27.407Z","422580"
"2019-01-08T21:48:27.494Z","422602"
"2019-01-08T21:49:27.408Z","422628"
"2019-01-08T21:50:27.415Z","422655"
"2019-01-08T21:51:27.393Z","422682"
"2019-01-08T21:52:27.429Z","422710"
"2019-01-08T21:53:27.426Z","422733"
"2019-01-08T21:54:27.445Z","422754"
"2019-01-08T21:55:27.438Z","422781"
"2019-01-08T21:56:27.459Z","422799"
"2019-01-08T21:57:27.467Z","422816"
"2019-01-08T21:58:27.457Z","422841"
"2019-01-08T21:59:27.425Z","422868"
"2019-01-08T22:00:27.416Z","422891"
"2019-01-08T22:01:27.420Z","422920"
"2019-01-08T22:02:27.449Z","422941"
"2019-01-08T22:03:27.435Z","422961"
"2019-01-08T22:04:27.475Z","422984"
"2019-01-08T22:05:27.456Z","423001"
"2019-01-08T22:06:27.493Z","423020"
"2019-01-08T22:07:27.468Z","423040"
"2019-01-08T22:08:27.450Z","423057"
"2019-01-08T22:09:27.466Z","423076"
"2019-01-08T22:10:27.454Z","423101"
"2019-01-08T22:11:27.475Z","423124"
"2019-01-08T22:12:27.490Z","423147"
"2019-01-08T22:13:27.494Z","423169"
"2019-01-08T22:14:27.456Z","423191"
"2019-01-08T22:15:27.459Z","423213"
"2019-01-08T22:16:27.493Z","423239"
"2019-01-08T22:17:27.464Z","423263"
"2019-01-08T22:18:27.522Z","423286"
"2019-01-08T22:19:27.490Z","423311"
"2019-01-08T22:20:27.509Z","423338"
"2019-01-08T22:21:27.474Z","423365"
"2019-01-08T22:22:27.510Z","423385"
"2019-01-08T22:23:27.503Z","423408"
"2019-01-08T22:24:27.512Z","423433"
"2019-01-08T22:25:27.492Z","423446"
"2019-01-08T22:26:27.523Z","423474"
"2019-01-08T22:27:27.504Z","423493"
"2019-01-08T22:28:27.504Z","423512"
"2019-01-08T22:29:27.514Z","423527"
"2019-01-08T22:30:27.515Z","423543"
"2019-01-08T22:31:27.519Z","423560"
"2019-01-08T22:32:27.771Z","423574"
"2019-01-08T22:33:27.546Z","423597"
"2019-01-08T22:34:27.562Z","423613"
"2019-01-08T22:35:27.547Z","423633"
"2019-01-08T22:36:27.614Z","423651"
"2019-01-08T22:37:27.561Z","423673"
"2019-01-08T22:38:27.602Z","423694"
"2019-01-08T22:39:27.571Z","423728"
